iter	Passed	Remaining
181	276	1244
182	277	1238
183	278	1234
184	279	1230
185	280	1225
186	280	1220
187	281	1214
188	281	1209
189	282	1203
190	282	1197
191	283	1192
192	283	1186
193	284	1181
194	284	1175
195	285	1170
196	285	1165
197	286	1160
198	286	1154
199	287	1149
200	287	1144
201	288	1139
202	288	1134
203	289	1129
204	289	1124
205	290	1119
206	290	1114
207	291	1109
208	291	1104
209	292	1100
210	293	1096
211	294	1095
212	295	1092
213	296	1087
214	296	1083
215	297	1078
216	297	1074
217	298	1070
218	299	1066
219	299	1061
220	299	1057
221	300	1053
222	301	1049
223	301	1044
224	302	1040
225	302	1036
226	303	1032
227	303	1027
228	304	1023
229	304	1019
230	305	1015
231	305	1011
232	306	1007
233	306	1004
234	307	1000
235	307	996
236	309	994
237	309	992
238	310	989
239	311	986
240	311	982
241	312	978
242	312	974
243	313	971
244	314	967
245	314	964
246	315	960
247	315	956
248	315	952
249	316	949
250	316	945
251	317	942
252	318	939
253	318	935
254	319	932
255	319	929
256	320	925
257	320	922
258	321	918
259	321	915
260	322	912
261	322	908
262	323	905
263	324	903
264	324	900
265	325	898
266	326	895
267	326	891
268	326	888
269	327	885
270	328	882
271	328	879
272	329	876
273	329	873
274	330	870
275	330	867
276	331	864
277	331	861
278	332	858
279	332	855
280	333	852
281	333	849
282	334	846
283	334	843
284	335	840
285	335	837
286	336	834
287	336	832
288	337	829
289	337	827
290	339	827
291	340	826
292	341	823
293	341	820
294	342	817
295	342	815
296	343	812
297	343	810
298	344	807
299	344	804
300	345	802
301	346	800
302	346	797
303	347	795
304	347	792
305	348	790
306	348	787
307	349	784
308	350	783
309	350	780
310	351	778
311	351	775
312	352	773
313	352	770
314	353	769
315	354	768
316	355	766
317	356	763
318	356	761
319	357	759
320	358	757
321	358	755
322	359	753
323	360	751
324	360	748
325	361	746
326	361	744
327	362	741
328	362	739
329	363	737
330	363	734
331	364	732
332	364	730
333	365	728
334	365	726
335	366	723
336	366	721
337	367	719
338	368	718
339	369	716
340	369	715
341	370	713
342	371	711
343	371	709
344	372	707
345	373	705
346	373	702
347	374	700
348	374	699
349	375	697
350	376	695
351	376	693
352	377	691
353	377	688
354	378	686
355	378	684
356	379	683
357	379	681
358	380	679
359	380	677
360	381	675
361	382	674
362	383	673
363	384	672
364	386	671
365	386	669
366	387	668
367	388	666
368	388	664
369	389	663
370	390	661
371	390	659
372	391	657
373	391	656
374	392	654
375	392	651
376	393	650
377	393	648
378	394	646
379	394	644
380	395	642
381	395	640
382	396	638
383	397	637
384	398	636
385	399	634
386	399	632
387	400	631
388	400	629
389	408	639
390	409	637
391	409	635
392	410	633
393	410	631
394	411	629
395	411	628
396	412	626
397	412	624
398	413	623
399	415	622
400	415	621
401	416	619
402	417	617
403	417	616
404	418	614
405	418	612
406	419	610
407	419	609
408	420	607
409	420	605
410	421	603
411	421	601
412	422	600
413	422	598
414	423	596
415	423	594
416	424	593
417	424	591
418	425	589
419	425	587
420	426	586
421	426	584
422	427	583
423	428	581
424	429	580
425	430	579
426	430	578
427	431	576
428	431	574
429	432	573
430	433	571
431	433	570
432	434	568
433	434	566
434	435	565
435	435	563
436	436	562
437	436	560
438	437	559
439	437	557
440	438	555
441	438	554
442	439	552
443	439	550
444	440	549
445	441	548
446	441	546
447	442	545
448	443	544
449	444	542
450	445	541
451	445	540
452	446	538
453	446	537
454	447	536
455	448	534
456	448	533
457	449	531
458	450	530
459	450	528
460	451	527
461	451	525
462	452	524
463	452	522
464	452	521
465	453	520
466	454	518
467	455	517
468	455	515
469	456	514
470	456	513
471	457	511
472	458	510
473	459	509
474	460	509
475	461	507
476	462	506
477	462	505
478	463	504
479	464	502
480	464	501
481	465	499
482	466	498
483	466	497
484	467	496
485	467	494
486	468	493
487	468	491
488	469	490
489	469	489
490	470	487
491	470	486
492	471	484
493	472	484
494	473	482
495	474	481
496	475	480
497	475	479
498	476	478
499	476	476
500	477	475
501	478	474
502	478	473
503	479	471
504	480	470
505	480	469
506	481	468
507	481	466
508	482	465
509	482	463
510	483	462
511	483	461
512	484	459
513	484	458
514	485	457
515	485	455
516	486	454
517	486	452
518	487	451
519	487	450
520	488	449
521	489	448
522	490	447
523	490	445
524	491	444
525	492	443
526	492	442
527	493	441
528	493	439
529	494	438
530	494	437
531	495	435
532	495	434
533	496	433
534	496	431
535	497	430
536	497	429
537	498	427
538	498	426
539	499	425
540	500	424
541	500	422
542	501	421
543	501	420
544	502	419
545	502	417
546	503	416
547	504	415
548	504	414
549	505	413
550	506	412
551	506	411
552	507	410
553	508	409
554	508	407
555	509	406
556	509	405
557	510	404
558	510	402
559	511	401
560	511	400
561	512	399
562	512	397
563	513	396
564	513	395
565	514	394
566	514	392
567	514	391
568	515	390
569	515	389
570	516	387
571	516	386
572	517	385
573	518	385
574	519	384
575	520	383
576	521	382
577	522	381
578	522	380
579	523	379
580	524	378
581	524	376
582	525	375
583	525	374
584	526	373
585	527	372
586	527	371
587	528	369
588	528	368
589	529	367
590	529	366
591	530	365
592	530	364
593	531	363
594	531	362
595	532	360
596	533	359
597	533	358
598	534	357
599	535	356
600	535	355
601	536	354
602	536	353
603	537	352
604	537	351
605	538	350
606	538	348
607	539	347
608	539	346
609	540	345
610	541	344
611	541	343
612	542	342
613	542	341
614	543	339
615	543	338
616	544	337
617	544	336
618	545	335
619	545	334
620	546	333
621	546	332
622	547	331
623	547	330
624	548	329
625	549	328
626	549	327
627	550	325
628	550	324
629	551	323
630	551	322
631	552	321
632	552	320
633	553	319
634	553	318
635	554	317
636	554	316
637	555	315
638	555	313
639	556	312
640	556	311
641	557	310
642	557	309
643	558	308
644	558	307
645	559	306
646	559	305
647	560	304
648	560	303
649	561	302
650	561	301
651	562	300
652	562	299
653	563	298
654	564	297
655	564	296
656	565	295
657	565	294
658	566	293
659	566	291
660	567	290
661	567	289
662	568	288
663	568	287
664	569	286
665	569	285
666	570	284
667	570	283
668	571	282
669	571	281
670	572	280
671	572	279
672	573	278
673	573	277
674	574	276
675	574	275
676	575	274
677	575	273
678	576	272
679	576	271
680	577	270
681	577	269
682	578	268
683	579	267
684	579	266
685	580	265
686	580	264
687	581	263
688	581	262
689	582	261
690	582	260
691	582	259
692	583	258
693	583	257
694	584	256
695	584	255
696	585	254
697	585	253
698	586	252
699	586	251
700	587	250
701	587	249
702	588	248
703	588	247
704	589	246
705	589	245
706	590	244
707	590	243
708	591	242
709	591	241
710	592	240
711	593	239
712	593	238
713	594	238
714	594	237
715	595	236
716	595	235
717	596	234
718	596	233
719	597	232
720	597	231
721	598	230
722	598	229
723	599	228
724	599	227
725	600	226
726	600	225
727	601	224
728	601	223
729	602	222
730	602	221
731	603	220
732	603	219
733	604	218
734	604	217
735	605	217
736	605	216
737	606	215
738	606	214
739	607	213
740	607	212
741	608	211
742	609	210
743	609	209
744	610	208
745	610	207
746	611	206
747	611	206
748	612	205
749	612	204
750	613	203
751	613	202
752	614	201
753	614	200
754	615	199
755	615	198
756	615	197
757	616	196
758	617	196
759	617	195
760	618	194
761	619	193
762	619	192
763	620	191
764	620	190
765	621	189
766	621	188
767	622	188
768	623	187
769	624	186
770	624	185
771	625	184
772	626	183
773	626	182
774	627	182
775	627	181
776	628	180
777	629	179
778	629	178
779	630	177
780	631	177
781	632	176
782	633	175
783	633	174
784	634	173
785	635	172
786	635	172
787	636	171
788	637	170
789	638	169
790	638	168
791	639	167
792	640	167
793	640	166
794	641	165
795	642	164
796	642	163
797	643	162
798	643	162
799	644	161
800	645	160
801	645	159
802	646	158
803	647	157
804	647	156
805	648	156
806	648	155
807	649	154
808	650	153
809	650	152
810	651	151
811	651	150
812	652	150
813	653	149
814	654	148
815	654	147
816	655	146
817	656	145
818	656	145
819	657	144
820	657	143
821	658	142
822	659	141
823	660	141
824	660	140
825	661	139
826	662	138
827	662	137
828	663	136
829	664	136
830	664	135
831	665	134
832	665	133
833	666	132
834	667	131
835	668	131
836	669	130
837	670	129
838	671	128
839	672	128
840	672	127
841	673	126
842	674	125
843	674	124
844	675	123
845	676	123
846	676	122
847	677	121
848	678	120
849	679	119
850	680	119
851	681	118
852	681	117
853	682	116
854	684	116
855	684	115
856	685	114
857	686	113
858	686	112
859	687	111
860	688	111
861	688	110
862	689	109
863	689	108
864	690	107
865	691	106
866	691	106
867	692	105
868	693	104
869	693	103
870	694	102
871	695	102
872	695	101
873	696	100
874	696	99
875	697	98
876	698	98
877	699	97
878	700	96
879	700	95
880	701	94
881	701	93
882	702	93
883	703	92
884	703	91
885	704	90
886	704	89
887	705	88
888	706	88
889	706	87
890	707	86
891	707	85
892	708	84
893	708	84
894	709	83
895	710	82
896	710	81
897	711	80
898	711	79
899	712	79
900	713	78
901	713	77
902	714	76
903	715	75
904	716	75
905	717	74
906	717	73
907	718	72
908	719	71
909	719	71
910	720	70
911	720	69
912	721	68
913	721	67
914	722	67
915	723	66
916	723	65
917	724	64
918	724	63
919	725	63
920	725	62
921	726	61
922	726	60
923	727	59
924	728	59
925	729	58
926	729	57
927	730	56
928	730	55
929	731	55
930	733	54
931	733	53
932	734	52
933	735	51
934	735	51
935	736	50
936	737	49
937	737	48
938	738	47
939	738	47
940	739	46
941	740	45
942	740	44
943	741	43
944	742	43
945	745	42
946	745	41
947	746	40
948	747	40
949	747	39
950	748	38
951	749	37
952	750	37
953	751	36
954	751	35
955	752	34
956	753	33
957	753	33
958	754	32
959	755	31
960	755	30
961	756	29
962	757	29
963	758	28
964	759	27
965	760	26
966	760	25
967	761	25
968	762	24
969	763	23
970	763	22
971	764	22
972	765	21
973	766	20
974	766	19
975	767	18
976	768	18
977	768	17
978	769	16
979	770	15
980	770	14
981	771	14
982	773	13
983	773	12
984	774	11
985	775	11
986	776	10
987	777	9
988	777	8
989	778	7
990	779	7
991	780	6
992	780	5
993	781	4
994	782	3
995	783	3
996	784	2
997	784	1
998	785	0
999	786	0
